id;zak;seminar;ro;date
3185; 93;16; 0; '2023-02-15 20:33:58'
3187; 99;11; 0; '2023-02-15 20:41:04'
3191; 21;3; 0; '2023-02-15 20:44:44'
3192; 45;20; 0; '2023-02-15 20:51:29'
3193; 18;8; 0; '2023-02-15 20:53:41'
3194; 106;16; 0; '2023-02-15 20:54:55'
3218; 105;16; 0; '2023-02-15 21:03:57'
3219; 43;3; 0; '2023-02-15 21:15:10'
3220; 64;26; 0; '2023-02-15 21:22:32'
3221; 126;11; 0; '2023-02-15 21:23:46'
3225; 108;11; 0; '2023-02-15 21:33:51'
3237; 48;26; 0; '2023-02-16 07:09:55'
3238; 96;11; 0; '2023-02-16 08:59:05'
3241; 128;11; 0; '2023-02-16 10:02:41'
3248; 237;23; 0; '2023-02-16 11:56:04'
3249; 237;7; 0; '2023-02-16 11:56:04'
3250; 237;18; 0; '2023-02-16 11:56:04'
3251; 237;24; 0; '2023-02-16 11:56:04'
3253; 188;30; 0; '2023-02-16 11:58:40'
3254; 188;7; 0; '2023-02-16 11:58:40'
3255; 188;19; 0; '2023-02-16 11:58:40'
3256; 188;9; 0; '2023-02-16 11:58:40'
3265; 216;30; 0; '2023-02-16 12:18:17'
3266; 216;31; 0; '2023-02-16 12:18:17'
3267; 216;7; 0; '2023-02-16 12:18:17'
3268; 216;18; 0; '2023-02-16 12:18:17'
3269; 216;19; 0; '2023-02-16 12:18:17'
3270; 6;8; 0; '2023-02-16 12:19:44'
3271; 116;26; 0; '2023-02-16 12:23:56'
3272; 163;31; 0; '2023-02-16 12:32:40'
3273; 163;22; 0; '2023-02-16 12:32:40'
3274; 163;14; 0; '2023-02-16 12:32:40'
3275; 132;32; 0; '2023-02-16 12:33:50'
3276; 132;22; 0; '2023-02-16 12:33:50'
3277; 132;24; 0; '2023-02-16 12:33:50'
3278; 179;4; 0; '2023-02-16 13:21:37'
3279; 179;17; 0; '2023-02-16 13:21:37'
3280; 179;25; 0; '2023-02-16 13:21:37'
3281; 57;3; 0; '2023-02-16 13:54:38'
3282; 158;32; 0; '2023-02-16 17:40:54'
3283; 158;12; 0; '2023-02-16 17:40:54'
3284; 158;27; 0; '2023-02-16 17:40:54'
3288; 240;6; 0; '2023-02-16 17:56:56'
3289; 240;25; 0; '2023-02-16 17:56:56'
3290; 240;18; 0; '2023-02-16 17:56:56'
3291; 240;24; 0; '2023-02-16 17:56:56'
3292; 240;2; 0; '2023-02-16 17:56:56'
3297; 4;8; 0; '2023-02-16 18:49:34'
3298; 180;32; 0; '2023-02-16 18:49:44'
3299; 180;12; 0; '2023-02-16 18:49:44'
3301; 164;4; 0; '2023-02-16 18:56:16'
3302; 164;32; 0; '2023-02-16 18:56:16'
3303; 164;27; 0; '2023-02-16 18:56:16'
3304; 210;15; 0; '2023-02-16 20:26:05'
3305; 210;6; 0; '2023-02-16 20:26:05'
3306; 210;18; 0; '2023-02-16 20:26:05'
3309; 95;16; 0; '2023-02-16 20:33:50'
3316; 170;32; 0; '2023-02-16 20:53:15'
3317; 170;12; 0; '2023-02-16 20:53:15'
3318; 170;27; 0; '2023-02-16 20:53:15'
3323; 15;8; 0; '2023-02-16 21:01:03'
3324; 8;10; 0; '2023-02-16 21:04:03'
3327; 90;21; 0; '2023-02-16 21:28:42'
3328; 69;11; 0; '2023-02-16 21:28:46'
3332; 143;15; 0; '2023-02-16 21:47:11'
3333; 143;12; 0; '2023-02-16 21:47:11'
3335; 169;32; 0; '2023-02-16 21:51:59'
3336; 169;22; 0; '2023-02-16 21:51:59'
3337; 169;14; 0; '2023-02-16 21:51:59'
3338; 181;32; 0; '2023-02-16 21:58:33'
3339; 181;12; 0; '2023-02-16 21:58:33'
3340; 181;27; 0; '2023-02-16 21:58:33'
3341; 175;5; 0; '2023-02-16 22:00:48'
3342; 175;27; 0; '2023-02-16 22:00:48'
3344; 183;4; 0; '2023-02-16 22:37:19'
3345; 183;32; 0; '2023-02-16 22:37:19'
3346; 183;24; 0; '2023-02-16 22:37:19'
3352; 167;32; 0; '2023-02-17 08:08:58'
3353; 167;17; 0; '2023-02-17 08:08:58'
3354; 167;27; 0; '2023-02-17 08:08:58'
3355; 171;4; 0; '2023-02-17 08:11:22'
3356; 171;1; 0; '2023-02-17 08:11:22'
3357; 171;25; 0; '2023-02-17 08:11:22'
3358; 200;23; 0; '2023-02-17 08:12:00'
3359; 200;7; 0; '2023-02-17 08:12:00'
3360; 200;25; 0; '2023-02-17 08:12:00'
3361; 200;2; 0; '2023-02-17 08:12:00'
3366; 139;4; 0; '2023-02-17 08:18:49'
3367; 139;12; 0; '2023-02-17 08:18:49'
3368; 139;27; 0; '2023-02-17 08:18:49'
3369; 136;15; 0; '2023-02-17 08:20:28'
3370; 136;5; 0; '2023-02-17 08:20:28'
3371; 136;22; 0; '2023-02-17 08:20:28'
3373; 97;16; 0; '2023-02-17 08:28:08'
3374; 113;21; 0; '2023-02-17 08:34:26'
3375; 9;10; 0; '2023-02-17 09:06:19'
3376; 72;26; 0; '2023-02-17 09:13:34'
3377; 195;29; 0; '2023-02-17 10:02:47'
3378; 195;2; 0; '2023-02-17 10:02:47'
3388; 172;5; 0; '2023-02-17 11:34:50'
3389; 172;12; 0; '2023-02-17 11:34:50'
3390; 172;22; 0; '2023-02-17 11:34:50'
3391; 138;1; 0; '2023-02-17 11:58:01'
3392; 138;22; 0; '2023-02-17 11:58:01'
3393; 138;19; 0; '2023-02-17 11:58:01'
3394; 140;32; 0; '2023-02-17 12:02:51'
3395; 140;27; 0; '2023-02-17 12:02:51'
3396; 140;24; 0; '2023-02-17 12:02:51'
3397; 149;12; 0; '2023-02-17 12:02:59'
3398; 149;24; 0; '2023-02-17 12:02:59'
3400; 232;30; 0; '2023-02-17 12:04:33'
3401; 232;31; 0; '2023-02-17 12:04:33'
3402; 232;7; 0; '2023-02-17 12:04:33'
3403; 232;2; 0; '2023-02-17 12:04:33'
3405; 223;7; 0; '2023-02-17 13:00:04'
3406; 223;25; 0; '2023-02-17 13:00:04'
3407; 223;18; 0; '2023-02-17 13:00:04'
3408; 223;19; 0; '2023-02-17 13:00:04'
3410; 88;11; 0; '2023-02-17 13:54:52'
3411; 86;21; 0; '2023-02-17 13:55:47'
3412; 91;21; 0; '2023-02-17 14:04:06'
3413; 31;20; 0; '2023-02-17 14:21:02'
3414; 162;5; 0; '2023-02-17 15:53:21'
3415; 162;32; 0; '2023-02-17 15:53:21'
3416; 162;22; 0; '2023-02-17 15:53:21'
3426; 54;26; 0; '2023-02-17 21:37:18'
